country,priority,lexicographic_weight,statement_id,statement,required_literals,realistic_explanation
CN,1,128,CN-P1,U1 = 0,U1=0,中国首先偏好美国停止或不启动关税升级，因为 U1 直接增加出口成本、市场不确定性和被强制谈判压力。
CN,2,64,CN-P2,U4 = 1 and C4 = 1,U4=1;C4=1,若进入阶段性协议，中国偏好双方都接受书面、可核验承诺，以把谈判成果制度化并降低反复升级风险。
CN,3,32,CN-P3,U1 = 1 and C1 = 1,U1=1;C1=1,当美国升级关税施压已经存在时，中国偏好实施对等反制，以提高美国单边施压成本并维护战略自主。
CN,4,16,CN-P4,C3 = 1,C3=1,中国偏好保持正式谈判通道，因为制度化沟通有助于控制冲突烈度并保留议价空间。
CN,5,8,CN-P5,U2 = 1,U2=1,中国偏好美国释放关税缓和信号，因为这表明冲突可控，也为让步、谈判和协议安排提供政治空间。
CN,6,4,CN-P6,U3 = 1 and C2 = 1,U3=1;C2=1,中国只在正式谈判存在时偏好提供可量化经贸让步，避免在缺乏谈判框架时单方面让步。
CN,7,2,CN-P7,U1 = 0 and C1 = 0,U1=0;C1=0,在美国关税压力消失时，中国偏好不继续反制，以减少报复循环并恢复经贸稳定。
CN,8,1,CN-P8,C4 = 1,C4=1,在较低优先级上，中国偏好接受书面可核验承诺，因为它提高协议可信度，但该偏好低于避免被施压和保留反制能力。
US,1,128,US-P1,C2 = 1 and C4 = 1,C2=1;C4=1,美国首先偏好中国同时提供可量化经贸让步和书面可核验承诺，因为这是结构性施压最可展示的政策成果。
US,2,64,US-P2,U4 = 1,U4=1,在获得成果基础上，美国偏好接受部分协议路线，以形成可执行的阶段性成果并降低市场不确定性。
US,3,32,US-P3,C2 = 0 and U1 = 1,C2=0;U1=1,若中国尚未提供可量化让步，美国偏好保留或升级关税施压，把关税作为强制性谈判工具。
US,4,16,US-P4,U3 = 1,U3=1,美国偏好保持正式谈判通道，以保留议程控制、危机管理机制和继续施压后的交易出口。
US,5,8,US-P5,C1 = 0,C1=0,美国偏好中国不进行对等反制，因为 C1 会提高美国企业、农业和消费者承受的冲突成本。
US,6,4,US-P6,U2 = 1,U2=1,在较低优先级上，美国偏好释放关税缓和信号，用于管理市场预期并显示冲突仍可控。
US,7,2,US-P7,C3 = 1,C3=1,美国偏好中国保持正式谈判通道，因为这降低误判风险，也使美国议程控制和施压收益更容易转化为协议。
US,8,1,US-P8,U1 = 0 and U2 = 1,U1=0;U2=1,若已进入缓和阶段，美国偏好不再同时保持升级关税姿态，以避免缓和信号与强制施压相互抵消。
